SITE_NAME,SITE_ID,PROGRAM_NAME,BASE_EVENT_ID,TYPE,PUBLIC_REG_OPEN_DATE
"NLA Sports Inc.",1179,"Bowling Open 4v4 Costa Mesa Tuesday Winter 2016",74412,LEAGUE,"2015-11-27 00:00:00"
"NLA Sports Inc.",1179,"Soccer Indoor Coed 5v5 Garden Grove Thursdays Winter 2016",74413,LEAGUE,"2015-11-27 00:00:00"
"NLA Sports Inc.",1179,"Soccer Indoor Coed 5v5 Irvine Wednesdays Winter 2016",73872,LEAGUE,"2015-11-23 00:00:00"
"NLA Sports Inc.",1179,"Soccer Indoor Mens 5v5 Irvine Saturdays Winter 2016",73873,LEAGUE,"2015-11-23 00:00:00"
"NLA Sports Inc.",1179,"Softball Coed Garden Grove Sundays Winter 2016",73874,LEAGUE,"2015-11-23 00:00:00"
"NLA Sports Inc.",1179,"Volleyball Coed 6v6 Costa Mesa Wednesday 2016 Winter",74368,LEAGUE,"2015-11-25 00:00:00"
"NLA Sports Inc.",1179,"Volleyball Womens 6v6 Costa Mesa Tuesday 2016 Winter",74369,LEAGUE,"2015-11-25 00:00:00"
"NoPro Sports",2088,"2016 Winter Basketball ",72783,LEAGUE,"2015-12-02 00:00:00"
"Off Limit Sports",2415,"(3) Dodgeball (Court) - Bonnie & Clyde Pairs - Dec 4th",73383,TOURNAMENT,"2015-11-18 00:00:00"
"Off Limit Sports",2415,"Pick-Up Coed 6's Volleyball (Fri. Nov 27, 2015)",74347,CAMP,"2015-11-25 00:00:00"
"Off Limit Sports",2415,"Pick-Up Coed 6's Volleyball (Sun. Dec 13th, 2015)",74351,CAMP,"2015-11-25 00:00:00"
"Off Limit Sports",2415,"Pick-Up Coed 6's Volleyball (Sun. Dec 6th, 2015)",74350,CAMP,"2015-11-25 00:00:00"
"Off Limit Sports",2415,"Volleyball (Court) - Bonnie & Clyde Pairs - Dec 11th",74394,TOURNAMENT,"2015-11-26 00:00:00"
"Olean Sports and Social Club",3236,"3rd Annual Bar Crawl / Scavenger Hunt",44793,EVENT,"2015-12-01 00:00:00"
"Olean Sports and Social Club",3236,"3rd Annual Bar Crawl / Scavenger Hunt",74617,EVENT,"2015-12-01 00:00:00"
"Panama City Adult Soccer",5130,"2015 Winter 7v7",73283,LEAGUE,"2015-11-18 00:00:00"
"Play Big Apple ",5862,"Fall 2015 NYC Bocce City Championship",72452,TOURNAMENT,"2015-11-19 00:00:00"
"Play Big Apple ",5862,"Fall 2015 Skeeball City Championship",72449,TOURNAMENT,"2015-11-20 00:00:00"
"Play Big Apple ",5862,"Skeeball National Championship 2016 (Non-Qualifier)",74244,TOURNAMENT,"2015-12-01 00:00:00"
"Play Big Apple ",5862,"Skeeball National Championship 2016 (Qualifier)",74223,TOURNAMENT,"2015-12-01 00:00:00"
"Predators Lacrosse",9026,"Predators Summer Lacrosse Camp 2016",74326,CAMP,"2015-11-25 00:00:00"
"Primal Soccer",4045,"'16 Winter Co-Ed A Soccer League - Primal Irvine Facility",73869,LEAGUE,"2015-11-23 00:00:00"
"Primal Soccer",4045,"'16 Winter Co-Ed B Soccer League - Primal Irvine Faciity",73867,LEAGUE,"2015-11-23 00:00:00"
"Primal Soccer",4045,"'16 Winter Men's A Soccer League - Primal Irvine Facility",73870,LEAGUE,"2015-11-23 00:00:00"
"Primal Soccer",4045,"'16 Winter Men's B Soccer League - Primal Irvine Facility",73868,LEAGUE,"2015-11-23 00:00:00"
"R3 Athletics",8566,"Coaches Seminar ",74607,EVENT,"2015-12-01 00:00:00"
"R3 Athletics",8566,"Men's Lacrosse League",64527,LEAGUE,"2015-11-17 00:00:00"
"R3 Athletics",8566,"Midland Lacrosse Camp",74506,CAMP,"2015-11-30 00:00:00"
"Regina Ultimate Flying Disc Club",2923,"Friday - Winter Hat League 2016",73963,LEAGUE,"2015-11-27 00:00:00"
"Regina Ultimate Flying Disc Club",2923,"Monday - Winter Hat League 2016",71664,LEAGUE,"2015-11-27 00:00:00"
"Regina Ultimate Flying Disc Club",2923,"Monday - Winter Hat League 2016 - Waiting list",74764,LEAGUE,"2015-11-27 00:00:00"
"Regina Ultimate Flying Disc Club",2923,"Thursday - Winter Hat League 2016",73960,LEAGUE,"2015-11-27 00:00:00"
"Regina Ultimate Flying Disc Club",2923,"Thursday - Winter Hat League 2016",73943,LEAGUE,"2015-11-27 00:00:00"
"Rose Tree Media Optimist Sports",7468,"Spring 2015 Boys 8th Grade Lacrosse Team",74418,CLUBTEAM,"2015-12-03 00:00:00"
"Sand Sports Beach Volleyball",3688,"Big Earl's Greasy Eats - Recreational 4s Co-Ed Sand Volleyball",74887,LEAGUE,"2015-12-03 00:00:00"
"Sand Sports Beach Volleyball",3688,"Kiwanis - Ruben Romero Courts - 2s King/Queen of the Beach Sand Volleyball",74392,LEAGUE,"2015-11-27 00:00:00"
"SixFifty Lacrosse",4846,"Costa Rica Service Trip | PreRegistration | June 22-30, 2016",74568,EVENT,"2015-12-01 00:00:00"
"Slam City Management",9234,"3rd Grade Boys",74196,TOURNAMENT,"2015-11-20 00:00:00"
"Slam City Management",9234,"3rd Grade Boys",73700,TOURNAMENT,"2015-11-20 00:00:00"
"Slam City Management",9234,"3rd Grade Girls",73722,TOURNAMENT,"2015-11-20 00:00:00"
"Slam City Management",9234,"3rd Grade Girls",74197,TOURNAMENT,"2015-11-20 00:00:00"
"Slam City Management",9234,"4th Grade Boys",73784,TOURNAMENT,"2015-11-20 00:00:00"
"Slam City Management",9234,"4th Grade Boys",74198,TOURNAMENT,"2015-11-20 00:00:00"
"Slam City Management",9234,"4th Grade Girls",74199,TOURNAMENT,"2015-11-20 00:00:00"
"Slam City Management",9234,"4th Grade Girls",73785,TOURNAMENT,"2015-11-20 00:00:00"
"Slam City Management",9234,"5th Grade Boys",73787,TOURNAMENT,"2015-11-20 00:00:00"
"Slam City Management",9234,"5th Grade Boys",74200,TOURNAMENT,"2015-11-20 00:00:00"
"Slam City Management",9234,"5th Grade Girls",73788,TOURNAMENT,"2015-11-20 00:00:00"
"Slam City Management",9234,"5th Grade Girls",74201,TOURNAMENT,"2015-11-20 00:00:00"
"Slam City Management",9234,"6th Grade Boys",74202,TOURNAMENT,"2015-11-20 00:00:00"
"Slam City Management",9234,"6th Grade Boys",73789,TOURNAMENT,"2015-11-20 00:00:00"
"Slam City Management",9234,"6th Grade Girls",73790,TOURNAMENT,"2015-11-20 00:00:00"
"Slam City Management",9234,"6th Grade Girls",74203,TOURNAMENT,"2015-11-20 00:00:00"
"Slam City Management",9234,"7th Grade Boys",73791,TOURNAMENT,"2015-11-20 00:00:00"
"Slam City Management",9234,"7th Grade Boys",74204,TOURNAMENT,"2015-11-20 00:00:00"
"Slam City Management",9234,"7th Grade Girls",74205,TOURNAMENT,"2015-11-20 00:00:00"
"Slam City Management",9234,"7th Grade Girls",73792,TOURNAMENT,"2015-11-20 00:00:00"
"Slam City Management",9234,"8th Grade Boys",73793,TOURNAMENT,"2015-11-20 00:00:00"
"Slam City Management",9234,"8th Grade Boys",74206,TOURNAMENT,"2015-11-20 00:00:00"
"Slam City Management",9234,"8th Grade Girls",73794,TOURNAMENT,"2015-11-20 00:00:00"
"Slam City Management",9234,"8th Grade Girls",74207,TOURNAMENT,"2015-11-20 00:00:00"
"Slam City Management",9234,"9th Grade Boys",74208,TOURNAMENT,"2015-11-20 00:00:00"
"Slam City Management",9234,"9th Grade Boys",73795,TOURNAMENT,"2015-11-20 00:00:00"
"Slam City Management",9234,"9th Grade Girls",73796,TOURNAMENT,"2015-11-20 00:00:00"
"Slam City Management",9234,"9th Grade Girls",74209,TOURNAMENT,"2015-11-20 00:00:00"
"Slam City Management",9234,"Slam City ""Spring Break Basketball Camp"" March 21-25, 2016",74619,CAMP,"2015-12-01 00:00:00"
"So Cal Bombers",9184,"Bombers Baseball Club - Payment $156",74402,CLUBTEAM,"2015-11-26 00:00:00"
"So Cal Bombers",9184,"Bombers Baseball Club - Payment $468",74403,CLUBTEAM,"2015-11-26 00:00:00"
"So Cal Bombers",9184,"UCSB Showcase",74404,CLUBTEAM,"2015-11-26 00:00:00"
"Sonoma Lacrosse",6520,"Sonoma State Prospect Camp",43267,CAMP,"2015-11-30 00:00:00"
"Sonoma Lacrosse",6520,"Sonoma State University Prospect Camp",66259,CAMP,"2015-11-27 00:00:00"
"South Florida Flag Football League",6106,"Florida Sunshine Cup VI",73316,TOURNAMENT,"2015-11-16 00:00:00"
"Tampa Affiliate League",8385,"Tampa Affiliate League Winter 2016 - Open Division",73725,LEAGUE,"2015-11-21 00:00:00"
"The Herkimer Pub & Brewery",3319,"Winter Shuffleboard 2016 (Monday)",74734,LEAGUE,"2015-12-07 00:00:00"
"THE WESTERN SPORTS MALL",3353,"2015 - WINTER - Girls U-9",68473,LEAGUE,"2015-11-30 00:00:00"
"THE WESTERN SPORTS MALL",3353,"2015/16 WINTER Co-ed Open Bronze ",73161,LEAGUE,"2015-11-16 00:00:00"
"THE WESTERN SPORTS MALL",3353,"2015/16 WINTER Co-ed Open Copper ",73162,LEAGUE,"2015-11-16 00:00:00"
"THE WESTERN SPORTS MALL",3353,"2015/16 WINTER Co-ed Open Gold",73165,LEAGUE,"2015-11-16 00:00:00"
"THE WESTERN SPORTS MALL",3353,"2015/16 WINTER Co-ed Open Silver ",73163,LEAGUE,"2015-11-16 00:00:00"
"THE WESTERN SPORTS MALL",3353,"2016 Winter  - CO-ED 30+ ",73953,LEAGUE,"2015-11-23 00:00:00"
"THE WESTERN SPORTS MALL",3353,"2016 Winter - CO-ED High School 11/12",73891,LEAGUE,"2015-11-23 00:00:00"
"THE WESTERN SPORTS MALL",3353,"2016 Winter - CO-ED High School 9/10",73895,LEAGUE,"2015-11-23 00:00:00"
"THE WESTERN SPORTS MALL",3353,"2016 Winter - Men's Open Monday ",73358,LEAGUE,"2015-11-18 00:00:00"
